Ticker,CurrentPrice,ForecastPrice,ExpectedReturn,MAE,RMSE,Dstat,Volatility
AXP,316.4700012207031,438.99997,38.71771978041847,55.61029815673828,69.31260275293384,0.4369747899159664,0.008928941636257388
BAC,51.333282470703125,64.608,25.859868294721622,7.077184804280599,8.544454831458552,0.453781512605042,0.013872655913843082
MCO,453.25,515.22064,13.672507907301434,54.86479822794596,64.62634762135282,0.48739495798319327,0.01546302009149912
KHC,23.58258628845215,22.642996,-3.9842553425179594,0.839811897277832,0.9842191927813667,0.5042016806722689,0.014457518328440467
CB,311.7300109863281,296.84937,-4.773568545700837,27.245141092936198,31.063475398976486,0.42857142857142855,0.009887610276718107
AAPL,312.05999755859375,293.59177,-5.918166809478423,18.704859670003255,21.440115427467724,0.48739495798319327,0.010930973741401956
KO,79.01000213623047,69.922264,-11.502009608150793,7.616014734903971,8.673264964366023,0.5042016806722689,0.009258692301498277
OXY,56.630001068115234,47.5782,-15.984106663325523,7.50719477335612,9.488706840278864,0.44537815126050423,0.02721370711107578
GOOGL,380.1129455566406,310.77243,-18.242081977812123,50.935228220621745,60.02827826210108,0.5126050420168067,0.016373204300375706
CVX,182.4600067138672,136.91255,-24.962979917791873,33.42705357869466,37.59056972697651,0.4369747899159664,0.01785648512058676
