Date,Close,Volume,sma20,sma50,ema20,rsi,macd,macd_signal,bb_high,bb_low,returns,volatility
2021-03-16,160.1929168701172,969900,157.06792449951172,149.7375329589844,156.98724273496336,58.765062826939214,3.3066149781347747,3.246674954282515,163.60259930113855,150.53324969788488,-0.010218083068345707,0.017588621460561598
2021-03-17,161.14984130859375,1179000,157.39635543823243,150.17829040527343,157.3836806943567,60.16284810151524,3.238501790938699,3.245040321613752,164.05714960044438,150.7355612760205,0.005973575219011984,0.017494593892207817
2021-03-18,156.91275024414062,4640900,157.58725662231444,150.53207580566405,157.3388301752885,51.79128349736345,2.8102291885245734,3.1580780949959166,163.9564306992937,151.2180825453352,-0.026292865261587917,0.018459627451777493
2021-03-19,148.60655212402344,6915700,157.3665657043457,150.58724975585938,156.5071846465966,40.0315009631997,1.7800598729084243,2.8824744505784183,164.6005743685463,150.13255704014512,-0.05293513820383344,0.022106178804076414
2021-03-22,146.572021484375,3351500,156.86483612060547,150.62254547119142,155.56097863114692,37.76931473379023,0.790362838161343,2.464052128095003,165.49692060015784,148.2327516410531,-0.01369071962554158,0.021475831811214947
2021-03-23,146.8799591064453,3291800,156.36967544555665,150.67254760742188,154.73421486688963,38.33729371212138,0.03051701910115412,1.9773451062962335,166.03768279440436,146.70166809670894,0.002100930443284854,0.021486981804908392
2021-03-24,146.170654296875,2326300,155.7503219604492,150.73196228027345,153.91863766974538,37.48854123180599,-0.6217342714570293,1.457529230745581,166.32304470925428,145.17759921164415,-0.004829146289837105,0.021220943533889265
2021-03-25,148.30787658691406,3000300,155.5035484313965,150.7880386352539,153.3842794713805,41.67832010835641,-0.9551814044957325,0.9749871036973182,166.5198950004783,144.4872018623147,0.014621418371011163,0.020391962503299735
2021-03-26,149.11985778808594,1891000,155.40700607299806,150.8508773803711,152.9781440729715,43.234978226753874,-1.140770470976804,0.5518355887624938,166.61001228851802,144.2039998574781,0.005474970175950222,0.020213766652633375
2021-03-29,149.64248657226562,2790900,155.11454391479492,150.9483255004883,152.66046240623763,44.26611101795695,-1.2314835918922995,0.1951717526315352,166.59538505140574,143.6337027781841,0.0035047564551891064,0.01899376601401848
2021-03-30,150.7344207763672,2701000,154.8650634765625,151.07931884765625,152.47702987005948,46.454597194456184,-1.2014152618904745,-0.08414565027286675,166.49792866290835,143.23219829021667,0.007296953085407676,0.019089883815117243
2021-03-31,147.4305877685547,2925500,154.45550155639648,151.1410760498047,151.99641633658285,41.18508162955002,-1.4277197417215177,-0.352860468562597,166.52166649945462,142.38933661333834,-0.02191823865309528,0.019627689361723415
2021-04-01,148.382568359375,1993600,154.16322174072266,151.21332580566406,151.65224033875356,43.18494405717886,-1.5128120392818118,-0.58485078270644,166.51702251545822,141.8094209659871,0.0064571443770866654,0.01966405353780625
2021-04-05,149.24118041992188,1332200,153.6504783630371,151.2776626586914,151.42261558457912,45.00137150595648,-1.4937465007537298,-0.766629926315898,165.92737787077385,141.37357885530037,0.005786475258113599,0.017880333157624342
2021-04-06,150.29579162597656,1966400,153.11799545288085,151.44931091308592,151.31529901709314,47.2328777569689,-1.3776578316148118,-0.8888355073756808,165.0005697618114,141.2354211439503,0.00706648931003695,0.017813044039941675
2021-04-07,150.21180725097656,1256100,152.74761962890625,151.61630615234375,151.21020456317726,47.06909322793089,-1.277704974521754,-0.9666094008048955,164.50702666853934,140.98821258927316,-0.0005587939229130257,0.01734033341757849
2021-04-08,149.24118041992188,1600800,152.1507926940918,151.81015747070313,151.0226784542958,45.12170537734778,-1.2622625120455382,-1.0257400230530243,163.3358073152437,140.96577807293988,-0.00646172127756206,0.01633821174496849
2021-04-09,149.96914672851562,2077300,151.6772331237793,152.11333465576172,150.9223420994596,46.89624431137703,-1.1777075722456232,-1.0561335328915442,162.37919269604163,140.97527355151698,0.0048777844462597475,0.016356782203530117
2021-04-12,150.20245361328125,1173700,151.05553665161133,152.38345703125,150.85378129125215,47.482370329396424,-1.0794282802017676,-1.060792482353589,160.5107105867139,141.60036271650876,0.001555699221173601,0.015489530502152436
2021-04-13,150.18382263183594,1459000,150.47239379882814,152.68033630371093,150.78997570464108,47.43734271086247,-0.9916138900239844,-1.0469567638876682,158.52859111879792,142.41619647885835,-0.00012403912850367238,0.015509519170389242
2021-04-14,153.1609649658203,1418100,150.12079620361328,152.9927197265625,151.01578420570578,54.811655673919894,-0.6740201629284286,-0.9723694436958203,156.9732265031894,143.26836590403715,0.01982332239127116,0.016272395354052293
2021-04-15,151.28506469726562,1723800,149.62755737304687,153.21927276611328,151.04142996680673,50.047144135475676,-0.5671564931749629,-0.8913268535916489,154.3100566922309,144.94505805386285,-0.012247900559867353,0.016305840505007992
2021-04-16,151.91036987304688,1600800,149.3774383544922,153.3713687133789,151.1241861483534,51.55871353606008,-0.42708617956591866,-0.7984787187865029,152.85637516458405,145.89850154440035,0.00413329086405545,0.015415757191552078
2021-04-19,150.9210968017578,1165800,149.4931655883789,153.36598937988282,151.1048443058205,49.030891992326474,-0.3913937722591925,-0.7170617294810409,153.0155445177755,145.9707866589823,-0.00651221553943826,0.009699074407843095
2021-04-20,150.9210968017578,1281100,149.71061935424805,153.36395538330078,151.08734454352881,49.030891992326474,-0.35896930759142265,-0.6454432451031172,153.01503907575005,146.40619963274605,0.0,0.009084886463317919
2021-04-21,154.05691528320312,1263000,150.06946716308593,153.35718536376953,151.3701608044502,56.81458244228505,-0.07932394435931656,-0.532219384954357,153.61624497807978,146.5226893480921,0.020777867030507657,0.010057502056829754
2021-04-22,155.78346252441406,2814400,150.55010757446288,153.41560638427734,151.79047525397056,60.40034977743827,0.27840566652437815,-0.37009437465861006,154.44181315087116,146.65840199805461,0.011207203766458784,0.010086991214950092
2021-04-23,157.96731567382812,1658800,151.0330795288086,153.52234954833983,152.37874577014745,64.42409595815789,0.7297159471810915,-0.15013231029066978,155.95342503458988,146.11273402302731,0.014018517203466363,0.01005202162067638
2021-04-26,154.95285034179688,1430000,151.32472915649413,153.53963043212892,152.62389858649502,55.97001848309056,0.8345206027223924,0.04679827231194264,156.44433842228597,146.2051198907023,-0.019082842037118186,0.011195398094641441
2021-04-27,155.48487854003906,1190700,151.61684875488282,153.5989553833008,152.89637286778492,57.04147919307908,0.9495633019068634,0.22735127823092682,156.98009815721105,146.2535993525546,0.0034334844248984364,0.011194898533725349
2021-04-28,153.11427307128906,2277700,151.7358413696289,153.60343475341796,152.91712526811864,51.07712402658351,0.8397671080125804,0.34983444418725756,157.1210551324555,146.3506276068023,-0.015246533881682511,0.01175204600154945
2021-04-29,158.19137573242188,2880800,152.27388076782228,153.6756378173828,153.41943483614753,60.58309678616661,1.1491854919406421,0.5097046537379345,157.97215460848943,146.57560692715512,0.033158911702300564,0.012561390786542214
2021-04-30,160.14193725585938,3277700,152.8618492126465,153.81658203125,154.05967316183438,63.51611059639083,1.5341115211961949,0.7145860272295866,159.22111782802645,146.50258059726653,0.01233039104948963,0.012699518091595297
2021-05-03,160.5338897705078,2272000,153.42648468017578,153.9668524169922,154.67626521980327,64.0942782008207,1.849475858434488,0.9415639934705669,160.37740096803023,146.47556839232132,0.002447531991711882,0.012695314738578704
2021-05-04,161.1872100830078,2463000,153.97105560302734,154.05846435546874,155.29635520677513,65.08742154715911,2.127596251758689,1.1787704451281913,161.53508437322702,146.40702683282765,0.00406967222580823,0.012671523017007184
2021-05-05,159.90859985351562,2150600,154.4558952331543,154.12097290039063,155.73561660170282,61.50204690310467,2.2192533364633675,1.3868670233952267,162.23398947785614,146.67780098845247,-0.007932454621143559,0.012903427932256684
2021-05-06,161.68182373046875,2249500,155.07792739868165,154.18345489501954,156.30192204253765,64.42855084384246,2.4072275629665683,1.5909391313094952,163.0751276858229,147.0807271115404,0.011088983823118292,0.012807398866711573
2021-05-07,164.62167358398438,3034600,155.81055374145507,154.41102142333983,157.09427933219925,68.67950442354163,2.7615859616416287,1.8250684973759221,164.4595384947584,147.16156898815174,0.018182933527620904,0.013190366711036823
2021-05-10,162.2324981689453,1466500,156.41205596923828,154.63465728759766,157.58363350712744,62.17643769355053,2.817156628786904,2.0234861236581185,165.09052554510188,147.73358639337468,-0.01451312796805082,0.01386744648342299
2021-05-11,156.5674285888672,3457200,156.73123626708986,154.65617126464844,157.48685208634078,50.070130817515455,2.376676169264414,2.0941241327793776,164.9260504784191,148.5364220557606,-0.034919449826745885,0.016363568156135374
2021-05-12,153.91688537597656,2396900,156.76903228759767,154.62002838134765,157.1468552567823,45.596767036063625,1.7930464228066398,2.03390859078483,164.90438799932085,148.6336765758745,-0.016929084400119532,0.016345229434668755
2021-05-13,157.52874755859375,1797700,157.08121643066406,154.65816680908202,157.1832259521929,51.90280017747587,1.603478830630479,1.9478226387539601,164.8203914611032,149.3420414002249,0.02346631543247768,0.016837277424156007
2021-05-14,158.8260040283203,1382000,157.42699813842773,154.7501235961914,157.33968100706218,53.96667450077995,1.5401687963893664,1.8662918702810414,164.82144849810828,150.0325477787472,0.008235045919120498,0.016887497474731443
2021-05-17,157.24874877929688,937000,157.74338073730468,154.70517761230468,157.33102079489407,51.09582960414197,1.3471942050090036,1.762472337226634,164.51231776261378,150.97444371199558,-0.009930711653125757,0.01699899790829102
2021-05-18,154.7568817138672,2812700,157.93516998291017,154.58140625,157.08586469193912,46.855028978232795,0.9818692269985547,1.6063517151810183,164.11145524653222,151.75888471928812,-0.015846657507762374,0.01746940338716489
2021-05-19,155.01820373535156,2675500,157.98323440551758,154.52938385009764,156.88894460083554,47.348553267551836,0.7053027618723036,1.4261419245192755,164.05207493872257,151.9143938723126,0.001688597098819411,0.016866056103518684
2021-05-20,155.07420349121094,3352200,157.94777145385743,154.40731353759764,156.71611211420463,47.46114894967877,0.48504921260408196,1.2379233821362368,164.07561673911144,151.81992616860342,0.00036124632146417035,0.016675134898175924
2021-05-21,155.5875244140625,2578200,157.82878189086915,154.3302572631836,156.60862757133395,48.54734135969207,0.3479069417797689,1.0599200940649431,164.04230992235614,151.61525385938216,0.0033101632076457665,0.016367155954122282
