Date,Close,Volume,sma20,sma50,ema20,rsi,macd,macd_signal,bb_high,bb_low,returns,volatility
2021-03-16,134.46304321289062,4031000,131.9830066680908,122.03654861450195,132.26762179292277,58.32919929356027,4.9003492033147324,5.053711197147371,143.9984456791056,119.96756765707603,-0.025103649883107648,0.019724207160047025
2021-03-17,135.7579345703125,3278500,132.73930320739746,122.54423294067382,132.60003253362655,60.242788283403506,4.5829838964504575,4.959565737007988,143.65552048469775,121.82308593009715,0.009630091112631689,0.019111246002071362
2021-03-18,133.7874298095703,3173600,133.40035858154297,123.00072555541992,132.71311798847833,56.02642006847434,4.124916864330061,4.792635962472403,142.78114980535562,124.01956735773034,-0.01451484045465945,0.019615445109841437
2021-03-19,132.03274536132812,5098300,133.8226089477539,123.34002670288086,132.6483205954164,52.50254849133326,3.5790500100815734,4.549918771994237,142.09319727579395,125.55202061971386,-0.013115465711089347,0.01945831990995695
2021-03-22,131.31959533691406,2274100,134.0102741241455,123.6832682800293,132.5217753327019,51.095918200848246,3.0537001934370096,4.250675056282792,141.86434778164795,126.15620046664304,-0.00540131179172576,0.018322390524627495
2021-03-23,127.68822479248047,4905400,133.9699249267578,123.95163070678711,132.06143718601413,44.55064307674484,2.3176193512856003,3.864063915283354,141.94428591051025,125.99556394300538,-0.027652922133341473,0.019387531970099774
2021-03-24,129.88394165039062,2638900,133.9009567260742,124.27741973876954,131.85405665881188,48.81972752016997,1.8896631205867607,3.4691837563440355,141.99078372970556,125.81112972244287,0.01719592281495541,0.019154698131896457
2021-03-25,133.5059051513672,2766400,134.1449234008789,124.66513854980468,132.01137556286477,54.97745779994564,1.8217667163212923,3.1397003483394874,141.86985754748108,126.41998925427673,0.027886153245378242,0.019553075973561533
2021-03-26,134.86648559570312,2687500,134.5423069000244,125.06543075561524,132.28329080408747,57.06710551227339,1.8563469852760193,2.883029675726794,141.52111458006263,127.56349921998621,0.010191163026034955,0.019287562290687454
2021-03-29,133.59036254882812,2220600,134.7140209197998,125.41430252075196,132.4077738273961,54.51155401986932,1.7604858476946674,2.658520910120369,141.41620414024712,128.01183769935247,-0.009462121306404558,0.01873792991431838
2021-03-30,134.64129638671875,2034500,134.91294746398927,125.81478286743165,132.6204902616173,56.2491653518925,1.7491536289917917,2.476647453894654,141.35340525218348,128.47248967579506,0.007866838728778136,0.01878598200637535
2021-03-31,133.1166229248047,2957300,134.87893867492676,126.09844329833984,132.66774099144467,53.08121378057511,1.598715362345473,2.301061035584818,141.3497244765605,128.408152873293,-0.011323965995803209,0.018229210662991487
