Date,Close,Volume
2021-01-04,85.54793548583984,37324000
2021-01-05,86.2378158569336,20360000
2021-01-06,85.3868408203125,46588000
2021-01-07,87.93724060058594,41936000
2021-01-08,89.10142517089844,35484000
2021-01-11,87.04267120361328,34796000
2021-01-12,86.10797119140625,29528000
2021-01-13,86.59464263916016,23432000
2021-01-14,85.78531646728516,29212000
2021-01-15,85.62177276611328,31444000
2021-01-19,88.43929290771484,41660000
2021-01-20,93.17728424072266,64152000
2021-01-21,93.37948608398438,58634000
2021-01-22,93.79627990722656,32744000
2021-01-25,93.88152313232422,50586000
2021-01-26,94.55902862548828,31462000
2021-01-27,90.14764404296875,82512000
2021-01-28,91.84558868408203,55278000
2021-01-29,90.56492614746094,44530000
2021-02-01,93.82156372070312,40252000
2021-02-02,95.11260986328125,66332000
2021-02-03,102.03919982910156,97882000
2021-02-04,101.77900695800781,48596000
2021-02-05,103.52352905273438,29866000
2021-02-08,103.3099365234375,28828000
2021-02-09,102.8574447631836,21892000
2021-02-10,103.40705871582031,25102000
2021-02-11,103.51956176757812,20480000
2021-02-12,103.83081817626953,18990000
2021-02-16,104.60742950439453,31004000
2021-02-17,104.99995422363281,20294000
2021-02-18,104.36505889892578,22546000
2021-02-19,103.52252960205078,37938000
2021-02-22,101.81022644042969,29466000
2021-02-23,102.10065460205078,34658000
2021-02-24,103.27472686767578,22608000
2021-02-25,99.91156005859375,41548000
2021-02-26,100.20693969726562,40042000
2021-03-01,102.57345581054688,26060000
2021-03-02,102.31673431396484,25564000
2021-03-03,99.68656158447266,33892000
2021-03-04,100.80266571044922,49216000
2021-03-05,103.9319076538086,53100000
2021-03-08,99.49276733398438,36868000
2021-03-09,101.12135314941406,33920000
2021-03-10,100.9146728515625,27100000
2021-03-11,104.10388946533203,27702000
2021-03-12,101.5990982055664,33818000
2021-03-15,101.81915283203125,26168000
2021-03-16,103.2787094116211,31900000
2021-03-17,103.19593811035156,26382000
2021-03-18,100.17869567871094,31700000
2021-03-19,100.45722198486328,46072000
2021-03-22,100.64209747314453,33536000
2021-03-23,101.16939544677734,28510000
2021-03-24,100.73326873779297,25218000
2021-03-25,100.72981262207031,35616000
2021-03-26,100.3467025756836,27978000
2021-03-29,101.39044952392578,26492000
2021-03-30,101.42416381835938,27312000
2021-03-31,102.21959686279297,42570000
2021-04-01,105.55303192138672,39880000
2021-04-05,109.97285461425781,48510000
2021-04-06,109.49209594726562,35240000
2021-04-07,110.967529296875,24134000
2021-04-08,111.53251647949219,28664000
2021-04-09,112.5356216430664,26146000
2021-04-12,111.24459075927734,25024000
2021-04-13,111.73075103759766,25682000
2021-04-14,111.1102523803711,21002000
2021-04-15,113.25820922851562,29174000
2021-04-16,113.13430786132812,26282000
2021-04-19,113.48172760009766,30290000
2021-04-20,112.94894409179688,22288000
2021-04-21,112.91624450683594,23204000
2021-04-22,111.6361083984375,24146000
2021-04-23,113.98576354980469,29066000
2021-04-26,114.48136901855469,32038000
2021-04-27,113.54219818115234,44386000
2021-04-28,116.91527557373047,81106000
2021-04-29,118.58647155761719,41234000
2021-04-30,116.64073181152344,44856000
2021-05-03,116.12429809570312,28242000
2021-05-04,114.32772827148438,44818000
2021-05-05,114.72123718261719,26636000
2021-05-06,115.84032440185547,25190000
2021-05-07,116.56290435791016,28898000
2021-05-10,113.58036041259766,30914000
2021-05-11,112.50538635253906,34186000
2021-05-12,109.04557800292969,46376000
2021-05-13,110.472412109375,33204000
2021-05-14,112.917724609375,31996000
2021-05-17,113.44010162353516,21598000
2021-05-18,112.12921142578125,22204000
2021-05-19,112.57676696777344,23684000
2021-05-20,114.33368682861328,32352000
2021-05-21,113.69831085205078,40632000
2021-05-24,117.014404296875,31832000
2021-05-25,117.10511779785156,22440000
2021-05-26,117.96944427490234,21572000
2021-05-27,117.09569549560547,35224000
2021-05-28,116.80675506591797,21482000
2021-06-01,118.01255798339844,23354000
2021-06-02,117.48770904541016,21158000
2021-06-03,116.34732055664062,18696000
2021-06-04,118.6266098022461,24458000
2021-06-07,119.05928039550781,24120000
2021-06-08,118.86797332763672,24240000
2021-06-09,119.33879089355469,17942000
2021-06-10,120.68634796142578,25904000
2021-06-11,120.44203186035156,21958000
2021-06-14,121.36930084228516,22098000
2021-06-15,120.352294921875,21562000
2021-06-16,119.71099090576172,26472000
2021-06-17,120.6734619140625,25842000
2021-06-18,119.05531311035156,46116000
2021-06-21,120.74185180664062,27414000
2021-06-22,121.25530242919922,22390000
2021-06-23,121.0535888671875,19148000
2021-06-24,121.42330932617188,21362000
2021-06-25,121.4317398071289,34594000
