Date,Close,Volume
2021-01-04,139.11196899414062,1799100
2021-01-05,139.22348022460938,946900
2021-01-06,145.8478546142578,1718800
2021-01-07,144.80723571777344,1410100
2021-01-08,144.37985229492188,1287700
2021-01-11,143.19992065429688,1471200
2021-01-12,145.50405883789062,1064900
2021-01-13,145.97792053222656,1113100
2021-01-14,144.77008056640625,934900
2021-01-15,144.18475341796875,1436300
2021-01-19,144.3427276611328,1434500
2021-01-20,144.77008056640625,1446100
2021-01-21,146.0243377685547,2042500
2021-01-22,141.71337890625,1505700
2021-01-25,141.86204528808594,1358300
2021-01-26,139.54861450195312,1155200
2021-01-27,134.81028747558594,1581600
2021-01-28,136.6963348388672,1464400
2021-01-29,135.33985900878906,2200500
2021-02-01,137.5417938232422,1714300
2021-02-02,139.95741271972656,1574900
2021-02-03,144.30557250976562,2574200
2021-02-04,151.1900634765625,3183200
2021-02-05,151.02279663085938,2233800
2021-02-08,154.39541625976562,2056200
2021-02-09,152.86241149902344,1555500
2021-02-10,152.63015747070312,1520600
2021-02-11,154.08880615234375,1507600
2021-02-12,152.5186309814453,1559000
2021-02-16,152.8903045654297,2007700
2021-02-17,154.5812225341797,1382500
2021-02-18,153.0947265625,1362100
2021-02-19,153.02037048339844,1276800
2021-02-22,156.6066131591797,2468200
2021-02-23,156.78317260742188,2095900
2021-02-24,158.55772399902344,1839600
2021-02-25,153.24334716796875,1844900
2021-02-26,151.0507049560547,1976800
2021-03-01,155.49172973632812,1403500
2021-03-02,155.72402954101562,1580100
2021-03-03,155.621826171875,2159300
2021-03-04,154.22816467285156,2068400
2021-03-05,159.4960479736328,2177600
2021-03-08,160.94544982910156,1782800
2021-03-09,157.61932373046875,1784000
2021-03-10,161.17771911621094,1799200
2021-03-11,159.44033813476562,2957700
2021-03-12,162.63638305664062,1393600
2021-03-15,161.8466796875,1350500
2021-03-16,160.1929168701172,969900
2021-03-17,161.14984130859375,1179000
2021-03-18,156.91275024414062,4640900
2021-03-19,148.60655212402344,6915700
2021-03-22,146.572021484375,3351500
2021-03-23,146.8799591064453,3291800
2021-03-24,146.170654296875,2326300
2021-03-25,148.30787658691406,3000300
2021-03-26,149.11985778808594,1891000
2021-03-29,149.64248657226562,2790900
2021-03-30,150.7344207763672,2701000
2021-03-31,147.4305877685547,2925500
2021-04-01,148.382568359375,1993600
2021-04-05,149.24118041992188,1332200
2021-04-06,150.29579162597656,1966400
2021-04-07,150.21180725097656,1256100
2021-04-08,149.24118041992188,1600800
2021-04-09,149.96914672851562,2077300
2021-04-12,150.20245361328125,1173700
2021-04-13,150.18382263183594,1459000
2021-04-14,153.1609649658203,1418100
2021-04-15,151.28506469726562,1723800
2021-04-16,151.91036987304688,1600800
2021-04-19,150.9210968017578,1165800
2021-04-20,150.9210968017578,1281100
2021-04-21,154.05691528320312,1263000
2021-04-22,155.78346252441406,2814400
