Date,Close,Volume
2021-01-04,278.7787780761719,1356800
2021-01-05,271.5037841796875,832900
2021-01-06,268.6109924316406,1035800
2021-01-07,268.6396179199219,749900
2021-01-08,267.5225524902344,650200
2021-01-11,263.8373718261719,621700
2021-01-12,261.6510009765625,581000
2021-01-13,261.8323974609375,956000
2021-01-14,259.8370361328125,1270200
2021-01-15,254.57647705078125,888600
2021-01-19,257.0970153808594,1357200
2021-01-20,263.0544128417969,885100
2021-01-21,258.510009765625,838800
2021-01-22,254.624267578125,729700
2021-01-25,254.4810791015625,760400
2021-01-26,256.5050964355469,553200
2021-01-27,251.13003540039062,1008900
2021-01-28,257.84173583984375,784100
2021-01-29,254.2042999267578,753100
2021-02-01,258.4908752441406,569600
2021-02-02,265.6513671875,733800
2021-02-03,261.47918701171875,494500
2021-02-04,264.3147277832031,662800
2021-02-05,264.4292907714844,480000
2021-02-08,265.78497314453125,729300
2021-02-09,269.5370788574219,677900
2021-02-10,264.3337707519531,849400
2021-02-11,266.042724609375,567300
2021-02-12,266.0523376464844,910700
2021-02-16,267.65631103515625,1035500
2021-02-17,267.8471984863281,656000
2021-02-18,266.1573486328125,698900
2021-02-19,267.72308349609375,934500
2021-02-22,264.4865417480469,799000
2021-02-23,263.5414123535156,992900
2021-02-24,266.53631591796875,804800
2021-02-25,265.3306884765625,750400
2021-02-26,263.03424072265625,1017300
2021-03-01,270.28741455078125,715800
2021-03-02,269.00518798828125,702800
2021-03-03,266.0101318359375,861100
2021-03-04,266.0196838378906,1003200
2021-03-05,275.04290771484375,1012500
2021-03-08,276.9949951171875,1136700
2021-03-09,277.5308837890625,1312500
2021-03-10,278.57379150390625,632600
2021-03-11,278.95654296875,532400
2021-03-12,279.0619201660156,506900
2021-03-15,284.5350646972656,682100
2021-03-16,283.406005859375,592400
2021-03-17,280.46844482421875,767200
2021-03-18,275.20556640625,780600
2021-03-19,275.37786865234375,1804200
2021-03-22,277.7700500488281,696100
2021-03-23,278.2389221191406,682600
2021-03-24,283.4729919433594,935100
2021-03-25,283.0137023925781,728400
2021-03-26,291.0035400390625,755400
2021-03-29,293.7306213378906,719200
2021-03-30,284.6977844238281,762300
2021-03-31,285.731201171875,535400
2021-04-01,293.0990905761719,673200
2021-04-05,297.4816589355469,571600
2021-04-06,296.15155029296875,511000
2021-04-07,294.6301574707031,508500
2021-04-08,299.5963134765625,793100
2021-04-09,300.73492431640625,551700
2021-04-12,300.9167175292969,654800
2021-04-13,301.5770568847656,680400
2021-04-14,301.5770568847656,481000
2021-04-15,304.7729187011719,694900
2021-04-16,308.1124267578125,1931100
2021-04-19,306.88763427734375,989500
2021-04-20,309.7965087890625,875100
2021-04-21,311.0118103027344,669600
2021-04-22,311.0308532714844,772100
2021-04-23,313.59527587890625,751600
2021-04-26,311.2510070800781,752500
2021-04-27,312.3226623535156,1204300
2021-04-28,306.237060546875,996700
2021-04-29,315.7195129394531,788400
2021-04-30,312.6192626953125,874400
2021-05-03,315.1167297363281,579000
2021-05-04,315.9683532714844,874800
2021-05-05,314.4947509765625,629500
2021-05-06,315.3846740722656,636700
2021-05-07,320.0733337402344,678100
2021-05-10,319.2312316894531,552000
2021-05-11,314.5712890625,706700
2021-05-12,305.94036865234375,991200
2021-05-13,314.6573791503906,709100
2021-05-14,319.63311767578125,697100
2021-05-17,315.4707946777344,867500
2021-05-18,309.8442687988281,781800
2021-05-19,310.5249938964844,539000
2021-05-20,313.4874267578125,543400
2021-05-21,315.29937744140625,926500
2021-05-24,318.1754455566406,413300
2021-05-25,319.2683410644531,413900
2021-05-26,317.5140075683594,675500
2021-05-27,319.9490966796875,1018100
2021-05-28,321.5022277832031,724700
2021-06-01,317.255126953125,568000
2021-06-02,321.16668701171875,511300
2021-06-03,320.4764404296875,481700
2021-06-04,321.78985595703125,440900
2021-06-07,321.23382568359375,380900
2021-06-08,323.0361633300781,365900
2021-06-09,324.7906494140625,408000
2021-06-10,325.92181396484375,592600
2021-06-11,330.5044250488281,566300
2021-06-14,333.3998107910156,458700
2021-06-15,336.419677734375,650300
2021-06-16,332.5753479003906,733000
2021-06-17,340.67633056640625,897900
2021-06-18,334.3585205078125,1054000
2021-06-21,340.96392822265625,574500
2021-06-22,344.6453857421875,679200
2021-06-23,342.8334655761719,464200
2021-06-24,347.02301025390625,480800
2021-06-25,349.91827392578125,838800
2021-06-28,350.64678955078125,378900
2021-06-29,351.2125244140625,435800
2021-06-30,347.406494140625,591700
2021-07-01,350.22509765625,439500
2021-07-02,352.6506652832031,375500
2021-07-06,354.759765625,490200
2021-07-07,361.1831359863281,537700
2021-07-08,358.93975830078125,567400
2021-07-09,360.0805358886719,631800
2021-07-12,359.55328369140625,445700
2021-07-13,359.514892578125,409200
2021-07-14,360.0901794433594,380000
2021-07-15,359.27520751953125,493800
2021-07-16,362.3526611328125,570600
2021-07-19,356.4757995605469,867800
2021-07-20,361.7296142578125,564400
2021-07-21,363.3498229980469,771200
2021-07-22,365.468505859375,577100
2021-07-23,366.0916748046875,590200
2021-07-26,364.1070861816406,558200
2021-07-27,365.23834228515625,621100
2021-07-28,362.9471130371094,866500
2021-07-29,361.7296142578125,792700
2021-07-30,360.4736022949219,896400
2021-08-02,363.5606994628906,763900
2021-08-03,363.4934997558594,520300
2021-08-04,366.9544982910156,726700
2021-08-05,370.8659973144531,620100
2021-08-06,369.0732116699219,527100
2021-08-09,366.62860107421875,510900
2021-08-10,364.6440734863281,366400
2021-08-11,364.3085021972656,473000
