Ticker,HighestPrice,HighestHorizon,LowestPrice,LowestHorizon,ExpectedReturn,Volatility,Score,Weight,Allocation,ProjectedProfit
AAPL,319.99268,H+119,233.78918,H+67,36.87232,0.014350163631586395,2569.470231451714,0.3164001925197662,316400192519.7662,116664085985.89056
AXP,404.47855,H+115,311.24902,H+35,29.953354,0.017543886439054635,1707.3385641140753,0.21023876586299584,210238765862.99585,62973561535.747635
KO,86.124306,H+116,74.68577,H+89,15.315552,0.010595254041620128,1445.510574607288,0.17799771271788659,177997712717.8866,27261331819.030323
BAC,61.10376,H+116,51.479416,H+27,18.695518,0.014531498753508483,1286.5512918368795,0.15842373709609262,158423737096.09262,29618139067.135166
CVX,195.80374,H+97,166.31885,H+38,17.727932,0.015941243521547487,1112.079616145117,0.13693959180325882,136939591803.25882,24276557683.529755
