Ticker,CurrentPrice,ForecastPrice,ExpectedReturn,MAE,RMSE,Dstat,Volatility
BAC,51.333282470703125,65.672455,27.933480333085825,6.795521036783854,8.542857004895554,0.4789915966386555,0.013872655913843093
AXP,316.4700012207031,395.58258,24.99844504709651,54.112999216715494,63.157969864889786,0.5798319327731093,0.008928941636257213
MCO,453.25,520.81006,14.90569411886376,54.326437123616536,63.72572893822035,0.5126050420168067,0.015463020091499108
AAPL,312.05999755859375,312.67624,0.19747531240764585,29.502617899576823,34.94428631950097,0.5462184873949579,0.010930973741401973
CB,311.7300109863281,288.7531,-7.370768736914169,36.23639755249023,39.04535030941396,0.5546218487394958,0.009887610276718127
KO,79.01000213623047,68.57551,-13.206548204572055,8.888880443572997,10.222129322187833,0.4789915966386555,0.009258692301498238
CVX,182.4600067138672,144.87373,-20.59973244016261,31.68164126078288,36.7700507179458,0.453781512605042,0.017856485120586685
KHC,23.58258628845215,18.146404,-23.051678707337967,3.374283695220947,3.8512293043206878,0.4789915966386555,0.014457518328440465
GOOGL,380.1129455566406,265.75082,-30.086352732490706,65.93936882019042,86.57285238079258,0.48739495798319327,0.016373204300375685
OXY,56.369632720947266,38.731213,-31.290642236925443,12.455043029785156,14.799213731846386,0.5378151260504201,0.027213705076841774
