Ticker,CurrentPrice,ForecastPrice,ExpectedReturn,MAE,RMSE,Dstat,Volatility
AXP,316.4700012207031,390.92142,23.525584013791974,40.168654123942055,49.11505799387889,0.5126050420168067,0.008928941636257213
MCO,453.25,499.06827,10.108829083787231,40.32613042195638,44.08947503878841,0.5042016806722689,0.015463020091499108
BAC,51.333282470703125,55.02531,7.192269552919019,2.934035237630208,3.5156682167273368,0.5462184873949579,0.013872655913843093
KHC,23.58258628845215,25.100748,6.437639006647246,2.32285426457723,2.459034512657351,0.4789915966386555,0.014457518328440465
AAPL,312.05999755859375,291.40463,-6.619036451910512,23.444359588623048,25.92385757500088,0.4789915966386555,0.010930973741401973
CB,311.7300109863281,289.1443,-7.245283765105212,28.324757130940757,31.778178314710573,0.4789915966386555,0.009887610276718127
KO,79.01000213623047,69.21459,-12.397683700046708,6.558150355021159,7.6239315389473195,0.5462184873949579,0.009258692301498238
GOOGL,380.1129455566406,315.66235,-16.955642472695487,24.297889200846353,35.0954662179183,0.4789915966386555,0.016373204300375685
CVX,182.4600067138672,148.67247,-18.51777670603684,29.510446294148764,33.821068387816695,0.4789915966386555,0.017856485120586685
OXY,56.369632720947266,41.389534,-26.574767301612283,10.05913127263387,12.481047162419868,0.44537815126050423,0.027213705076841774
