Ticker,CurrentPrice,ForecastPrice,ExpectedReturn,MAE,RMSE,Dstat,Volatility
BAC,51.333282470703125,1146.4601,2133.366010954236,254.05733357220888,382.99751397992935,0.5378151260504201,0.013872655913843093
KHC,23.58258628845215,435.91718,1748.4706043731403,214.51535357112687,239.06193504534573,0.47058823529411764,0.014457518328440465
AXP,316.4700012207031,449.23123,41.95065249681078,53.61352335611979,62.2348912662273,0.46218487394957986,0.008928941636257213
CVX,182.4600067138672,219.51208,20.306958721740695,88.28504741781701,115.74228981572836,0.5546218487394958,0.017856485120586685
MCO,453.25,520.0741,14.743319730763925,48.468753306070965,54.00411606171197,0.5042016806722689,0.015463020091499108
KO,79.01000213623047,70.77777,-10.419226575823346,5.390887832641601,6.35401465390307,0.4957983193277311,0.009258692301498238
CB,311.7300109863281,247.48544,-20.609041672895394,19.53023999532064,26.17528727115973,0.5714285714285714,0.009887610276718127
OXY,56.369632720947266,-192.02211,-440.6481481544142,130.89614598502715,150.0384121728414,0.48739495798319327,0.027213705076841774
GOOGL,380.1129455566406,-1538.7196,-504.8058932165211,1163.9123247782388,1209.348939904843,0.5126050420168067,0.016373204300375685
AAPL,312.05999755859375,-2157.1257,-791.2535247382496,957.7443110148112,1133.101999684132,0.453781512605042,0.010930973741401973
