Ticker,CurrentPrice,ForecastPrice,ExpectedReturn,MAE,RMSE,Dstat,Volatility
AXP,316.4700012207031,427.01184,34.92964235890357,55.31950887044271,68.122709240945,0.48739495798319327,0.00892894163625727
BAC,51.333282470703125,67.72075,31.92366753483317,7.899867820739746,9.502799288981283,0.5126050420168067,0.013872655913843113
MCO,453.25,515.253,13.679644947083563,57.31536127726237,67.03484712506251,0.4957983193277311,0.01546302009149911
AAPL,312.05999755859375,308.0718,-1.27802016550256,23.096665318806966,26.506280597914863,0.46218487394957986,0.01093097374140193
CB,311.7300109863281,296.88803,-4.761164936769495,28.284395345052083,32.02873379600829,0.47058823529411764,0.009887610276718127
KHC,23.58258628845215,22.263964,-5.5915096545497525,0.875615135828654,1.0443709296526658,0.5378151260504201,0.014457518328440477
KO,79.01000213623047,69.36872,-12.202608362553917,8.520812861124675,9.656082404860843,0.5630252100840336,0.00925869230149828
OXY,56.630001068115234,46.927486,-17.133170519928477,8.186199156443278,10.009271631485143,0.5378151260504201,0.02721370711107584
GOOGL,380.1129455566406,296.8297,-21.91012819113999,60.63880564371745,70.18847150908917,0.48739495798319327,0.016373204300375702
CVX,182.4600067138672,135.55519,-25.706902306204565,33.530706787109374,37.73794322365019,0.4789915966386555,0.01785648512058671
